node1	node2	weight	cluster	BP_resnik	CODA80	HIPPO	PI	TM
ENSG00000002016	ENSG00000035928	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000049541	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000076242	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000095002	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000106028	0.008	281	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000106399	0.0429182556010888	315	3192.4	NA	NA	1	NA
ENSG00000002016	ENSG00000111445	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000113318	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000113810	0.008	266	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000116062	0.0413333333333333	315	NA	NA	1	1	NA
ENSG00000002016	ENSG00000117748	0.0785927358786215	315	3192.4	NA	0.5	1	34.5
ENSG00000002016	ENSG00000119684	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000122512	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000132383	0.093893282326709	315	3192.4	NA	1	1	32
ENSG00000002016	ENSG00000133119	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000136824	0.008	266	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000154473	0.008	273	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000156970	0.008	273	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000163918	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000174371	0.008	315	NA	NA	NA	1	NA
ENSG00000002016	ENSG00000204086	0.0166666666666667	315	NA	NA	0.5	NA	NA
ENSG00000002822	ENSG00000035928	0.00784464540552736	245	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000049541	0.00784464540552736	245	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000080986	0.00784464540552736	267	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000108055	0.00784464540552736	267	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000111445	0.00784464540552736	245	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000117399	0.0253835645229088	328	NA	NA	NA	1	32.375
ENSG00000002822	ENSG00000127586	0.00784464540552736	245	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000133119	0.00784464540552736	245	NA	NA	NA	1	NA
ENSG00000002822	ENSG00000136824	0.00784464540552736	267	NA	NA	NA	1	NA
